1,Ken,J,Sánchez,125.50,0,Chief Executive Officer
2,Terri,Lee,Duffy,63.4615,1,Vice President of Engineering
3,Roberto,NULL,Tamburello,43.2692,2,Engineering Manager
4,Rob,NULL,Walters,8.62,3,Senior Tool Designer
4,Rob,NULL,Walters,23.72,3,Senior Tool Designer
4,Rob,NULL,Walters,29.8462,3,Senior Tool Designer
5,Gail,A,Erickson,32.6923,3,Design Engineer
6,Jossef,H,Goldberg,32.6923,3,Design Engineer
7,Dylan,A,Miller,50.4808,3,Research and Development Manager
8,Diane,L,Margheim,40.8654,4,Research and Development Engineer
9,Gigi,N,Matthew,40.8654,4,Research and Development Engineer
10,Michael,NULL,Raheem,42.4808,4,Research and Development Manager
11,Ovidiu,V,Cracium,28.8462,3,Senior Tool Designer
12,Thierry,B,D'Hers,25.00,4,Tool Designer
13,Janice,M,Galvin,25.00,4,Tool Designer
14,Michael,I,Sullivan,36.0577,3,Senior Design Engineer
15,Sharon,B,Salavaria,32.6923,3,Design Engineer
16,David,M,Bradley,24.00,1,Marketing Manager
16,David,M,Bradley,28.75,1,Marketing Manager
16,David,M,Bradley,37.50,1,Marketing Manager
17,Kevin,F,Brown,13.4615,2,Marketing Assistant
18,John,L,Wood,14.4231,2,Marketing Specialist
19,Mary,A,Dempsey,13.4615,2,Marketing Assistant
20,Wanida,M,Benshoof,13.4615,2,Marketing Assistant
21,Terry,J,Eminhizer,14.4231,2,Marketing Specialist
22,Sariya,E,Harnpadoungsataya,14.4231,2,Marketing Specialist
23,Mary,E,Gibson,14.4231,2,Marketing Specialist
24,Jill,A,Williams,14.4231,2,Marketing Specialist
25,James,R,Hamilton,84.1346,1,Vice President of Production
26,Peter,J,Krebs,24.5192,2,Production Control Manager
27,Jo,A,Brown,25.00,3,Production Supervisor - WC60
28,Guy,R,Gilbert,12.45,4,Production Technician - WC60
29,Mark,K,McArthur,12.45,4,Production Technician - WC60
30,Britta,L,Simon,12.45,4,Production Technician - WC60
31,Margie,W,Shoop,12.45,4,Production Technician - WC60
32,Rebecca,A,Laszlo,12.45,4,Production Technician - WC60
33,Annik,O,Stahl,12.45,4,Production Technician - WC60
34,Suchitra,O,Mohan,12.45,4,Production Technician - WC60
35,Brandon,G,Heidepriem,12.45,4,Production Technician - WC60
36,Jose,R,Lugo,12.45,4,Production Technician - WC60
37,Chris,O,Okelberry,12.45,4,Production Technician - WC60
38,Kim,B,Abercrombie,12.45,4,Production Technician - WC60
39,Ed,R,Dudenhoefer,12.45,4,Production Technician - WC60
40,JoLynn,M,Dobney,25.00,3,Production Supervisor - WC60
41,Bryan,NULL,Baker,12.45,4,Production Technician - WC60
42,James,D,Kramer,12.45,4,Production Technician - WC60
43,Nancy,A,Anderson,12.45,4,Production Technician - WC60
44,Simon,D,Rapier,12.45,4,Production Technician - WC60
45,Thomas,R,Michaels,12.45,4,Production Technician - WC60
46,Eugene,O,Kogan,12.45,4,Production Technician - WC60
47,Andrew,R,Hill,25.00,3,Production Supervisor - WC10
48,Ruth,Ann,Ellerbrock,13.45,4,Production Technician - WC10
